RECORD_ID,ORDER_DATE1,ORDER_DATE2,ORDER_DATE_TM1,ORDER_DATE_TM2,ORDER_DATE_TM3
50,2022-10-05,10/5/22,10/5/22 10:37,22-Oct-05 10:37 AM,"Wed October 5, 2022 10:37"
51,2022-07-14,7/14/22,7/14/22 1:27,22-Jul-14 1:27 AM,"Thu July 14, 2022 1:27"
52,2022-07-23,7/23/22,7/23/22 8:20,22-Jul-23 8:20 AM,"Sat July 23, 2022 8:20"
53,2022-01-27,1/27/22,1/27/22 10:22,22-Jan-27 10:22 AM,"Thu January 27, 2022 10:22"
54,2022-11-08,11/8/22,11/8/22 20:34,22-Nov-08 8:34 PM,"Tue November 8, 2022 20:34"
55,2022-01-30,1/30/22,1/30/22 1:30,22-Jan-30 1:30 AM,"Sun January 30, 2022 1:30"
56,2022-10-18,10/18/22,10/18/22 11:58,22-Oct-18 11:58 AM,"Tue October 18, 2022 11:58"
57,2022-01-28,1/28/22,1/28/22 12:56,22-Jan-28 12:56 PM,"Fri January 28, 2022 12:56"
58,2022-07-21,7/21/22,7/21/22 9:49,22-Jul-21 9:49 AM,"Thu July 21, 2022 9:49"
59,2022-02-18,2/18/22,2/18/22 11:36,22-Feb-18 11:36 AM,"Fri February 18, 2022 11:36"
60,2022-11-11,11/11/22,11/11/22 4:46,22-Nov-11 4:46 AM,"Fri November 11, 2022 4:46"
61,2022-01-25,1/25/22,1/25/22 4:30,22-Jan-25 4:30 AM,"Tue January 25, 2022 4:30"
62,2022-10-08,10/8/22,10/8/22 12:02,22-Oct-08 12:02 PM,"Sat October 8, 2022 12:02"
63,2022-10-24,10/24/22,10/24/22 13:09,22-Oct-24 1:09 PM,"Mon October 24, 2022 13:09"
64,2022-11-25,11/25/22,11/25/22 1:32,22-Nov-25 1:32 AM,"Fri November 25, 2022 1:32"
65,2022-01-31,1/31/22,1/31/22 2:29,22-Jan-31 2:29 AM,"Mon January 31, 2022 2:29"
66,2022-10-05,10/5/22,10/5/22 16:40,22-Oct-05 4:40 PM,"Wed October 5, 2022 16:40"
67,2022-09-05,9/5/22,9/5/22 20:25,22-Sep-05 8:25 PM,"Mon September 5, 2022 20:25"
68,2022-08-02,8/2/22,8/2/22 8:37,22-Aug-02 8:37 AM,"Tue August 2, 2022 8:37"
69,2022-08-02,8/2/22,8/2/22 2:54,22-Aug-02 2:54 AM,"Tue August 2, 2022 2:54"
70,2022-07-17,7/17/22,7/17/22 2:40,22-Jul-17 2:40 AM,"Sun July 17, 2022 2:40"
71,2022-06-02,6/2/22,6/2/22 22:40,22-Jun-02 10:40 PM,"Thu June 2, 2022 22:40"
72,2022-05-18,5/18/22,5/18/22 21:44,22-May-18 9:44 PM,"Wed May 18, 2022 21:44"
73,2022-10-03,10/3/22,10/3/22 8:57,22-Oct-03 8:57 AM,"Mon October 3, 2022 8:57"
74,2022-11-02,11/2/22,11/2/22 10:47,22-Nov-02 10:47 AM,"Wed November 2, 2022 10:47"
75,2022-12-30,12/30/22,12/30/22 20:10,22-Dec-30 8:10 PM,"Fri December 30, 2022 20:10"
76,2022-05-19,5/19/22,5/19/22 10:22,22-May-19 10:22 AM,"Thu May 19, 2022 10:22"
77,2022-03-24,3/24/22,3/24/22 18:56,22-Mar-24 6:56 PM,"Thu March 24, 2022 18:56"
78,2022-04-06,4/6/22,4/6/22 18:39,22-Apr-06 6:39 PM,"Wed April 6, 2022 18:39"
79,2022-08-14,8/14/22,8/14/22 13:03,22-Aug-14 1:03 PM,"Sun August 14, 2022 13:03"
80,2022-11-24,11/24/22,11/24/22 11:34,22-Nov-24 11:34 AM,"Thu November 24, 2022 11:34"
81,2022-12-29,12/29/22,12/29/22 19:42,22-Dec-29 7:42 PM,"Thu December 29, 2022 19:42"
82,2022-03-06,3/6/22,3/6/22 1:52,22-Mar-06 1:52 AM,"Sun March 6, 2022 1:52"
83,2022-11-21,11/21/22,11/21/22 9:30,22-Nov-21 9:30 AM,"Mon November 21, 2022 9:30"
84,2022-04-08,4/8/22,4/8/22 15:13,22-Apr-08 3:13 PM,"Fri April 8, 2022 15:13"
85,2022-10-13,10/13/22,10/13/22 11:24,22-Oct-13 11:24 AM,"Thu October 13, 2022 11:24"
86,2022-08-20,8/20/22,8/20/22 15:13,22-Aug-20 3:13 PM,"Sat August 20, 2022 15:13"
87,2022-03-07,3/7/22,3/7/22 1:00,22-Mar-07 1:00 AM,"Mon March 7, 2022 1:00"
88,2022-03-10,3/10/22,3/10/22 2:23,22-Mar-10 2:23 AM,"Thu March 10, 2022 2:23"
89,2022-12-26,12/26/22,12/26/22 8:41,22-Dec-26 8:41 AM,"Mon December 26, 2022 8:41"
90,2022-03-20,3/20/22,3/20/22 11:40,22-Mar-20 11:40 AM,"Sun March 20, 2022 11:40"
91,2022-09-20,9/20/22,9/20/22 1:07,22-Sep-20 1:07 AM,"Tue September 20, 2022 1:07"
92,2022-03-05,3/5/22,3/5/22 19:15,22-Mar-05 7:15 PM,"Sat March 5, 2022 19:15"
93,2022-05-09,5/9/22,5/9/22 21:28,22-May-09 9:28 PM,"Mon May 9, 2022 21:28"
94,2022-05-16,5/16/22,5/16/22 7:28,22-May-16 7:28 AM,"Mon May 16, 2022 7:28"
95,2022-08-08,8/8/22,8/8/22 13:19,22-Aug-08 1:19 PM,"Mon August 8, 2022 13:19"
96,2022-10-27,10/27/22,10/27/22 14:20,22-Oct-27 2:20 PM,"Thu October 27, 2022 14:20"
97,2022-02-24,2/24/22,2/24/22 9:59,22-Feb-24 9:59 AM,"Thu February 24, 2022 9:59"
98,2022-04-19,4/19/22,4/19/22 8:16,22-Apr-19 8:16 AM,"Tue April 19, 2022 8:16"
99,2022-04-14,4/14/22,4/14/22 3:44,22-Apr-14 3:44 AM,"Thu April 14, 2022 3:44"
100,2022-12-22,12/22/22,12/22/22 6:55,22-Dec-22 6:55 AM,"Thu December 22, 2022 6:55"
101,2022-07-15,7/15/22,7/15/22 19:40,22-Jul-15 7:40 PM,"Fri July 15, 2022 19:40"
102,2022-06-26,6/26/22,6/26/22 16:35,22-Jun-26 4:35 PM,"Sun June 26, 2022 16:35"
103,2022-06-25,6/25/22,6/25/22 15:47,22-Jun-25 3:47 PM,"Sat June 25, 2022 15:47"
104,2022-11-09,11/9/22,11/9/22 11:01,22-Nov-09 11:01 AM,"Wed November 9, 2022 11:01"
105,2022-07-25,7/25/22,7/25/22 11:51,22-Jul-25 11:51 AM,"Mon July 25, 2022 11:51"
106,2022-06-27,6/27/22,6/27/22 1:53,22-Jun-27 1:53 AM,"Mon June 27, 2022 1:53"
107,2022-01-18,1/18/22,1/18/22 22:02,22-Jan-18 10:02 PM,"Tue January 18, 2022 22:02"
108,2022-10-30,10/30/22,10/30/22 14:53,22-Oct-30 2:53 PM,"Sun October 30, 2022 14:53"
109,2022-04-01,4/1/22,4/1/22 4:36,22-Apr-01 4:36 AM,"Fri April 1, 2022 4:36"
110,2022-02-02,2/2/22,2/2/22 8:11,22-Feb-02 8:11 AM,"Wed February 2, 2022 8:11"
111,2022-02-24,2/24/22,2/24/22 23:55,22-Feb-24 11:55 PM,"Thu February 24, 2022 23:55"
112,2022-08-28,8/28/22,8/28/22 17:03,22-Aug-28 5:03 PM,"Sun August 28, 2022 17:03"
113,2022-12-24,12/24/22,12/24/22 8:48,22-Dec-24 8:48 AM,"Sat December 24, 2022 8:48"
114,2022-01-29,1/29/22,1/29/22 8:50,22-Jan-29 8:50 AM,"Sat January 29, 2022 8:50"
115,2022-08-16,8/16/22,8/16/22 5:30,22-Aug-16 5:30 AM,"Tue August 16, 2022 5:30"
116,2022-10-22,10/22/22,10/22/22 20:09,22-Oct-22 8:09 PM,"Sat October 22, 2022 20:09"
117,2022-09-25,9/25/22,9/25/22 21:58,22-Sep-25 9:58 PM,"Sun September 25, 2022 21:58"
118,2022-12-05,12/5/22,12/5/22 0:58,22-Dec-05 12:58 AM,"Mon December 5, 2022 0:58"
119,2022-12-30,12/30/22,12/30/22 19:05,22-Dec-30 7:05 PM,"Fri December 30, 2022 19:05"
120,2022-04-13,4/13/22,4/13/22 22:47,22-Apr-13 10:47 PM,"Wed April 13, 2022 22:47"
121,2022-05-24,5/24/22,5/24/22 4:34,22-May-24 4:34 AM,"Tue May 24, 2022 4:34"
122,2022-01-08,1/8/22,1/8/22 14:54,22-Jan-08 2:54 PM,"Sat January 8, 2022 14:54"
123,2022-04-04,4/4/22,4/4/22 8:00,22-Apr-04 8:00 AM,"Mon April 4, 2022 8:00"
124,2022-07-20,7/20/22,7/20/22 23:31,22-Jul-20 11:31 PM,"Wed July 20, 2022 23:31"
125,2022-05-13,5/13/22,5/13/22 11:32,22-May-13 11:32 AM,"Fri May 13, 2022 11:32"
126,2022-12-01,12/1/22,12/1/22 22:18,22-Dec-01 10:18 PM,"Thu December 1, 2022 22:18"
127,2022-06-13,6/13/22,6/13/22 14:29,22-Jun-13 2:29 PM,"Mon June 13, 2022 14:29"
128,2022-08-19,8/19/22,8/19/22 0:39,22-Aug-19 12:39 AM,"Fri August 19, 2022 0:39"
129,2022-07-27,7/27/22,7/27/22 1:23,22-Jul-27 1:23 AM,"Wed July 27, 2022 1:23"
130,2022-09-13,9/13/22,9/13/22 1:52,22-Sep-13 1:52 AM,"Tue September 13, 2022 1:52"
131,2022-04-06,4/6/22,4/6/22 9:15,22-Apr-06 9:15 AM,"Wed April 6, 2022 9:15"
132,2022-08-24,8/24/22,8/24/22 11:59,22-Aug-24 11:59 AM,"Wed August 24, 2022 11:59"
133,2022-09-08,9/8/22,9/8/22 11:36,22-Sep-08 11:36 AM,"Thu September 8, 2022 11:36"
134,2022-01-10,1/10/22,1/10/22 0:40,22-Jan-10 12:40 AM,"Mon January 10, 2022 0:40"
135,2022-11-01,11/1/22,11/1/22 16:55,22-Nov-01 4:55 PM,"Tue November 1, 2022 16:55"
136,2022-09-19,9/19/22,9/19/22 10:39,22-Sep-19 10:39 AM,"Mon September 19, 2022 10:39"
137,2022-10-06,10/6/22,10/6/22 13:56,22-Oct-06 1:56 PM,"Thu October 6, 2022 13:56"
138,2022-04-11,4/11/22,4/11/22 3:51,22-Apr-11 3:51 AM,"Mon April 11, 2022 3:51"
139,2022-12-03,12/3/22,12/3/22 21:18,22-Dec-03 9:18 PM,"Sat December 3, 2022 21:18"
140,2022-08-24,8/24/22,8/24/22 21:28,22-Aug-24 9:28 PM,"Wed August 24, 2022 21:28"
141,2022-12-16,12/16/22,12/16/22 9:04,22-Dec-16 9:04 AM,"Fri December 16, 2022 9:04"
142,2022-06-05,6/5/22,6/5/22 3:00,22-Jun-05 3:00 AM,"Sun June 5, 2022 3:00"
143,2022-05-23,5/23/22,5/23/22 11:46,22-May-23 11:46 AM,"Mon May 23, 2022 11:46"
144,2022-06-11,6/11/22,6/11/22 10:51,22-Jun-11 10:51 AM,"Sat June 11, 2022 10:51"
145,2022-09-13,9/13/22,9/13/22 7:19,22-Sep-13 7:19 AM,"Tue September 13, 2022 7:19"
146,2022-04-29,4/29/22,4/29/22 4:08,22-Apr-29 4:08 AM,"Fri April 29, 2022 4:08"
147,2022-09-28,9/28/22,9/28/22 11:15,22-Sep-28 11:15 AM,"Wed September 28, 2022 11:15"
148,2022-10-12,10/12/22,10/12/22 20:43,22-Oct-12 8:43 PM,"Wed October 12, 2022 20:43"
149,2022-06-20,6/20/22,6/20/22 6:50,22-Jun-20 6:50 AM,"Mon June 20, 2022 6:50"
150,2022-10-30,10/30/22,10/30/22 21:02,22-Oct-30 9:02 PM,"Sun October 30, 2022 21:02"
151,2022-07-28,7/28/22,7/28/22 15:55,22-Jul-28 3:55 PM,"Thu July 28, 2022 15:55"
152,2022-10-27,10/27/22,10/27/22 21:06,22-Oct-27 9:06 PM,"Thu October 27, 2022 21:06"
153,2022-10-29,10/29/22,10/29/22 3:54,22-Oct-29 3:54 AM,"Sat October 29, 2022 3:54"
154,2022-11-11,11/11/22,11/11/22 22:52,22-Nov-11 10:52 PM,"Fri November 11, 2022 22:52"
155,2022-02-22,2/22/22,2/22/22 4:10,22-Feb-22 4:10 AM,"Tue February 22, 2022 4:10"
156,2022-07-15,7/15/22,7/15/22 4:48,22-Jul-15 4:48 AM,"Fri July 15, 2022 4:48"
157,2022-11-30,11/30/22,11/30/22 18:19,22-Nov-30 6:19 PM,"Wed November 30, 2022 18:19"
158,2022-05-28,5/28/22,5/28/22 6:42,22-May-28 6:42 AM,"Sat May 28, 2022 6:42"
159,2022-05-15,5/15/22,5/15/22 7:18,22-May-15 7:18 AM,"Sun May 15, 2022 7:18"
160,2022-12-03,12/3/22,12/3/22 5:28,22-Dec-03 5:28 AM,"Sat December 3, 2022 5:28"
161,2022-03-20,3/20/22,3/20/22 19:17,22-Mar-20 7:17 PM,"Sun March 20, 2022 19:17"
162,2022-01-15,1/15/22,1/15/22 22:35,22-Jan-15 10:35 PM,"Sat January 15, 2022 22:35"
163,2022-11-22,11/22/22,11/22/22 14:01,22-Nov-22 2:01 PM,"Tue November 22, 2022 14:01"
164,2022-06-19,6/19/22,6/19/22 16:52,22-Jun-19 4:52 PM,"Sun June 19, 2022 16:52"
165,2022-07-10,7/10/22,7/10/22 12:03,22-Jul-10 12:03 PM,"Sun July 10, 2022 12:03"
166,2022-09-18,9/18/22,9/18/22 20:02,22-Sep-18 8:02 PM,"Sun September 18, 2022 20:02"
167,2022-07-22,7/22/22,7/22/22 8:49,22-Jul-22 8:49 AM,"Fri July 22, 2022 8:49"
168,2022-06-07,6/7/22,6/7/22 8:04,22-Jun-07 8:04 AM,"Tue June 7, 2022 8:04"
169,2022-07-04,7/4/22,7/4/22 22:39,22-Jul-04 10:39 PM,"Mon July 4, 2022 22:39"
170,2022-01-12,1/12/22,1/12/22 16:38,22-Jan-12 4:38 PM,"Wed January 12, 2022 16:38"
171,2022-09-16,9/16/22,9/16/22 7:59,22-Sep-16 7:59 AM,"Fri September 16, 2022 7:59"
172,2022-10-21,10/21/22,10/21/22 5:34,22-Oct-21 5:34 AM,"Fri October 21, 2022 5:34"
173,2022-01-05,1/5/22,1/5/22 14:22,22-Jan-05 2:22 PM,"Wed January 5, 2022 14:22"
174,2022-05-15,5/15/22,5/15/22 10:59,22-May-15 10:59 AM,"Sun May 15, 2022 10:59"
175,2022-07-25,7/25/22,7/25/22 9:25,22-Jul-25 9:25 AM,"Mon July 25, 2022 9:25"
176,2022-07-13,7/13/22,7/13/22 23:15,22-Jul-13 11:15 PM,"Wed July 13, 2022 23:15"
177,2022-09-14,9/14/22,9/14/22 18:09,22-Sep-14 6:09 PM,"Wed September 14, 2022 18:09"
178,2022-03-28,3/28/22,3/28/22 10:40,22-Mar-28 10:40 AM,"Mon March 28, 2022 10:40"
179,2022-04-28,4/28/22,4/28/22 18:59,22-Apr-28 6:59 PM,"Thu April 28, 2022 18:59"
180,2022-07-31,7/31/22,7/31/22 14:18,22-Jul-31 2:18 PM,"Sun July 31, 2022 14:18"
181,2022-04-14,4/14/22,4/14/22 4:33,22-Apr-14 4:33 AM,"Thu April 14, 2022 4:33"
182,2022-07-18,7/18/22,7/18/22 2:28,22-Jul-18 2:28 AM,"Mon July 18, 2022 2:28"
183,2022-06-28,6/28/22,6/28/22 22:25,22-Jun-28 10:25 PM,"Tue June 28, 2022 22:25"
184,2022-02-09,2/9/22,2/9/22 8:36,22-Feb-09 8:36 AM,"Wed February 9, 2022 8:36"
185,2022-01-29,1/29/22,1/29/22 14:11,22-Jan-29 2:11 PM,"Sat January 29, 2022 14:11"
186,2022-11-01,11/1/22,11/1/22 8:35,22-Nov-01 8:35 AM,"Tue November 1, 2022 8:35"
187,2022-04-13,4/13/22,4/13/22 22:14,22-Apr-13 10:14 PM,"Wed April 13, 2022 22:14"
188,2022-03-22,3/22/22,3/22/22 14:02,22-Mar-22 2:02 PM,"Tue March 22, 2022 14:02"
189,2022-08-09,8/9/22,8/9/22 17:47,22-Aug-09 5:47 PM,"Tue August 9, 2022 17:47"
190,2022-10-11,10/11/22,10/11/22 11:14,22-Oct-11 11:14 AM,"Tue October 11, 2022 11:14"
191,2022-01-09,1/9/22,1/9/22 17:52,22-Jan-09 5:52 PM,"Sun January 9, 2022 17:52"
192,2022-09-02,9/2/22,9/2/22 9:11,22-Sep-02 9:11 AM,"Fri September 2, 2022 9:11"
193,2022-06-01,6/1/22,6/1/22 2:30,22-Jun-01 2:30 AM,"Wed June 1, 2022 2:30"
194,2022-03-05,3/5/22,3/5/22 2:59,22-Mar-05 2:59 AM,"Sat March 5, 2022 2:59"
195,2022-12-26,12/26/22,12/26/22 9:27,22-Dec-26 9:27 AM,"Mon December 26, 2022 9:27"
196,2022-09-24,9/24/22,9/24/22 7:54,22-Sep-24 7:54 AM,"Sat September 24, 2022 7:54"
197,2022-10-24,10/24/22,10/24/22 22:10,22-Oct-24 10:10 PM,"Mon October 24, 2022 22:10"
198,2022-09-29,9/29/22,9/29/22 22:09,22-Sep-29 10:09 PM,"Thu September 29, 2022 22:09"
199,2022-10-10,10/10/22,10/10/22 10:11,22-Oct-10 10:11 AM,"Mon October 10, 2022 10:11"
200,2022-05-01,5/1/22,5/1/22 14:06,22-May-01 2:06 PM,"Sun May 1, 2022 14:06"
201,2022-10-19,10/19/22,10/19/22 4:10,22-Oct-19 4:10 AM,"Wed October 19, 2022 4:10"
202,2022-06-16,6/16/22,6/16/22 2:06,22-Jun-16 2:06 AM,"Thu June 16, 2022 2:06"
203,2022-03-07,3/7/22,3/7/22 2:31,22-Mar-07 2:31 AM,"Mon March 7, 2022 2:31"
204,2022-01-18,1/18/22,1/18/22 5:53,22-Jan-18 5:53 AM,"Tue January 18, 2022 5:53"
205,2022-07-18,7/18/22,7/18/22 8:46,22-Jul-18 8:46 AM,"Mon July 18, 2022 8:46"
206,2022-04-12,4/12/22,4/12/22 17:47,22-Apr-12 5:47 PM,"Tue April 12, 2022 17:47"
207,2022-03-07,3/7/22,3/7/22 21:36,22-Mar-07 9:36 PM,"Mon March 7, 2022 21:36"
208,2022-02-15,2/15/22,2/15/22 16:33,22-Feb-15 4:33 PM,"Tue February 15, 2022 16:33"
209,2022-08-06,8/6/22,8/6/22 8:50,22-Aug-06 8:50 AM,"Sat August 6, 2022 8:50"
210,2022-04-03,4/3/22,4/3/22 17:46,22-Apr-03 5:46 PM,"Sun April 3, 2022 17:46"
211,2022-12-12,12/12/22,12/12/22 18:34,22-Dec-12 6:34 PM,"Mon December 12, 2022 18:34"
212,2022-12-08,12/8/22,12/8/22 18:42,22-Dec-08 6:42 PM,"Thu December 8, 2022 18:42"
213,2022-08-08,8/8/22,8/8/22 15:15,22-Aug-08 3:15 PM,"Mon August 8, 2022 15:15"
214,2022-03-09,3/9/22,3/9/22 18:04,22-Mar-09 6:04 PM,"Wed March 9, 2022 18:04"
215,2022-03-14,3/14/22,3/14/22 14:37,22-Mar-14 2:37 PM,"Mon March 14, 2022 14:37"
216,2022-05-16,5/16/22,5/16/22 12:54,22-May-16 12:54 PM,"Mon May 16, 2022 12:54"
217,2022-06-29,6/29/22,6/29/22 18:01,22-Jun-29 6:01 PM,"Wed June 29, 2022 18:01"
218,2022-06-18,6/18/22,6/18/22 21:33,22-Jun-18 9:33 PM,"Sat June 18, 2022 21:33"
219,2022-11-20,11/20/22,11/20/22 1:13,22-Nov-20 1:13 AM,"Sun November 20, 2022 1:13"
220,2022-09-30,9/30/22,9/30/22 7:49,22-Sep-30 7:49 AM,"Fri September 30, 2022 7:49"
221,2022-06-18,6/18/22,6/18/22 3:11,22-Jun-18 3:11 AM,"Sat June 18, 2022 3:11"
222,2022-04-24,4/24/22,4/24/22 18:10,22-Apr-24 6:10 PM,"Sun April 24, 2022 18:10"
223,2022-05-13,5/13/22,5/13/22 16:14,22-May-13 4:14 PM,"Fri May 13, 2022 16:14"
224,2022-03-09,3/9/22,3/9/22 3:50,22-Mar-09 3:50 AM,"Wed March 9, 2022 3:50"
225,2022-01-01,1/1/22,1/1/22 3:13,22-Jan-01 3:13 AM,"Sat January 1, 2022 3:13"
226,2022-12-24,12/24/22,12/24/22 1:39,22-Dec-24 1:39 AM,"Sat December 24, 2022 1:39"
227,2022-03-12,3/12/22,3/12/22 10:01,22-Mar-12 10:01 AM,"Sat March 12, 2022 10:01"
228,2022-07-21,7/21/22,7/21/22 14:41,22-Jul-21 2:41 PM,"Thu July 21, 2022 14:41"
229,2022-12-01,12/1/22,12/1/22 14:53,22-Dec-01 2:53 PM,"Thu December 1, 2022 14:53"
230,2022-12-30,12/30/22,12/30/22 23:44,22-Dec-30 11:44 PM,"Fri December 30, 2022 23:44"
231,2022-07-24,7/24/22,7/24/22 8:50,22-Jul-24 8:50 AM,"Sun July 24, 2022 8:50"
232,2022-03-31,3/31/22,3/31/22 5:38,22-Mar-31 5:38 AM,"Thu March 31, 2022 5:38"
233,2022-12-22,12/22/22,12/22/22 17:43,22-Dec-22 5:43 PM,"Thu December 22, 2022 17:43"
234,2022-12-18,12/18/22,12/18/22 15:02,22-Dec-18 3:02 PM,"Sun December 18, 2022 15:02"
235,2022-05-14,5/14/22,5/14/22 2:00,22-May-14 2:00 AM,"Sat May 14, 2022 2:00"
236,2022-05-27,5/27/22,5/27/22 1:28,22-May-27 1:28 AM,"Fri May 27, 2022 1:28"
237,2022-01-13,1/13/22,1/13/22 4:35,22-Jan-13 4:35 AM,"Thu January 13, 2022 4:35"
238,2022-10-24,10/24/22,10/24/22 1:23,22-Oct-24 1:23 AM,"Mon October 24, 2022 1:23"
239,2022-09-10,9/10/22,9/10/22 9:51,22-Sep-10 9:51 AM,"Sat September 10, 2022 9:51"
240,2022-08-18,8/18/22,8/18/22 14:17,22-Aug-18 2:17 PM,"Thu August 18, 2022 14:17"
241,2022-10-21,10/21/22,10/21/22 13:47,22-Oct-21 1:47 PM,"Fri October 21, 2022 13:47"
242,2022-04-01,4/1/22,4/1/22 3:23,22-Apr-01 3:23 AM,"Fri April 1, 2022 3:23"
243,2022-06-26,6/26/22,6/26/22 11:36,22-Jun-26 11:36 AM,"Sun June 26, 2022 11:36"
