DAYS_SINCE_INSTALL,FLIGHT_HOURS,ENV_TEMPERATURE,REPLACEMENT_NEEDED
102,618,67,1
117,818,67,0
148,971,67,0
36,346,66,0
101,441,66,0
37,480,66,1
117,1162,66,1
118,1212,66,1
13,73,66,0
24,163,66,0
135,474,66,0
64,625,66,0
183,648,66,0
98,923,66,0
86,950,66,0
3,36,65,0
134,1276,65,1
17,132,65,0
99,557,65,0
88,686,65,0
67,752,65,0
101,921,65,0
68,320,64,1
136,1236,64,1
181,1563,64,1
186,1786,64,1
10,114,64,0
78,553,64,0
79,725,64,0
22,190,63,1
136,1169,63,1
84,824,63,0
95,1066,62,1
191,1220,62,1
156,1925,62,1
79,487,62,0
112,641,62,0
92,774,62,1
111,889,62,0
2,16,61,0
177,66,61,0
37,239,61,0
67,427,61,0
65,499,61,0
169,1307,61,1
22,121,61,0
23,175,61,0
29,252,61,0
35,283,61,0
46,415,61,0
141,490,61,0
161,507,61,0
120,843,61,1
2,13,60,0
51,331,60,0
165,1261,60,0
106,1057,60,1
193,1127,60,1
134,1199,60,1
160,1246,60,1
188,2044,60,1
19,167,60,0
132,707,60,0
62,763,60,0
62,418,59,0
8,27,59,0
10,64,59,0
49,569,59,0
53,599,59,0
157,705,59,0
62,740,59,0
13,165,58,0
16,86,58,1
29,423,58,1
195,1110,58,1
134,1111,58,1
86,1303,58,1
39,243,58,0
127,515,58,0
159,515,58,0
61,607,58,0
106,922,58,0
93,939,58,0
15,160,57,0
110,1432,57,1
174,1456,57,1
132,1474,57,1
3,30,57,0
17,127,57,0
43,203,57,0
132,501,57,0
108,591,57,0
112,607,57,0
80,659,57,0
104,743,57,0
98,952,57,0
2,8,56,0
38,223,56,0
90,1053,56,1
125,1059,56,1
128,1096,56,1
145,1376,56,1
186,1951,56,1
8,43,56,0
18,101,56,0
30,117,56,0
68,317,56,0
58,529,56,0
88,538,56,1
134,792,56,0
6,50,55,0
53,333,55,1
175,1147,55,1
145,2037,55,1
176,2058,55,1
18,148,55,0
65,294,55,0
35,387,55,0
102,589,55,0
73,665,55,0
60,676,55,0
100,710,55,0
41,205,54,0
133,1040,54,1
87,1126,54,1
197,798,54,1
194,1719,53,0
53,185,53,1
195,1156,53,1
153,1263,53,1
130,1287,53,1
178,1648,53,1
30,120,53,0
53,633,53,0
59,635,53,0
174,1244,52,1
149,1265,52,1
122,514,52,0
78,549,52,0
77,626,52,0
75,841,52,0
99,846,52,0
187,1770,51,1
22,104,51,0
1,3,51,0
10,37,51,0
13,116,51,0
94,173,51,0
95,547,51,0
64,657,51,1
76,791,51,0
170,1258,50,1
188,1382,50,1
200,1448,50,1
112,943,50,0
16,134,49,0
99,1323,49,0
196,1228,49,1
153,1435,49,1
35,461,49,0
96,604,49,0
84,635,49,0
125,1382,48,1
82,505,48,0
1,9,47,0
137,1158,47,1
150,1360,47,1
151,1437,47,1
191,2008,47,1
36,97,47,1
67,683,47,0
133,892,47,1
66,920,47,0
104,1041,46,1
146,1324,46,1
180,1403,46,1
198,1424,46,1
34,466,46,1
21,103,45,0
142,2094,45,0
125,1210,45,1
12,113,45,0
20,114,45,0
43,391,45,0
163,903,45,1
144,1658,44,1
61,501,44,0
111,891,44,0
29,291,43,0
183,361,43,0
92,651,43,0
2,13,42,0
8,79,42,0
108,1139,42,1
169,1203,42,1
17,155,42,0
18,157,42,0
81,513,42,0
119,904,42,0
109,696,41,0
35,273,40,0
172,1218,40,1
16,82,40,0
52,718,40,0
97,1362,39,1
115,1437,39,1
30,185,38,1
8,78,38,0
34,403,37,1
151,1220,37,1
130,120,36,0
124,1064,36,1
162,508,36,0
121,579,36,0
148,780,36,0
150,888,36,0
98,918,36,0
28,182,35,0
137,1137,35,0
157,1329,35,1
156,254,35,0
73,468,34,1
129,1536,34,1
71,575,34,0
163,1194,33,1
89,507,33,0
44,229,32,1
42,415,31,0
94,739,31,0
186,973,31,0
155,1142,30,1
122,955,30,0
181,1084,29,0
142,1033,29,1
69,618,29,0
33,281,28,0
199,1317,27,1
18,136,26,0
91,1017,26,1
122,1664,26,1
1,3,25,0
95,593,24,1
54,364,23,0
57,448,22,0
155,650,21,0
176,1697,17,1
33,188,12,0
32,474,7,0
