RED,GREEN,BLUE,LIGHT_OR_DARK_FONT_IND
139,126,102,0
139,129,76,0
139,131,120,1
139,131,134,1
139,134,130,1
139,134,78,1
139,136,120,1
139,137,112,1
139,137,137,1
139,139,0,0
139,139,122,1
139,139,131,1
139,26,26,0
139,28,98,0
139,34,82,0
139,35,35,0
139,37,0,0
139,54,38,0
139,58,58,0
139,58,98,0
139,62,47,0
139,69,0,0
139,69,19,0
139,71,137,0
139,71,38,0
139,71,93,0
139,76,57,0
139,87,66,0
139,90,0,0
139,90,43,0
139,95,101,0
139,99,108,0
140,140,140,1
141,182,205,1
141,238,238,1
142,142,142,1
142,142,56,1
142,229,238,1
142,56,142,0
143,143,143,1
143,188,143,1
144,238,144,1
145,145,145,1
145,44,238,0
147,112,219,1
148,0,211,0
148,148,148,1
150,150,150,1
150,205,205,1
151,255,255,1
15,15,15,0
152,245,255,1
152,251,152,1
153,0,0,0
153,102,0,0
153,102,153,0
153,128,230,1
153,153,0,1
153,153,153,1
153,153,153,1
153,153,51,1
153,179,255,1
153,204,153,1
153,204,204,1
153,50,204,0
153,51,0,0
153,77,0,0
153,77,102,0
154,192,205,1
154,205,50,1
154,255,154,1
154,50,205,0
155,205,155,1
155,48,255,0
156,102,31,0
156,156,156,1
158,158,158,1
159,121,238,1
159,182,205,1
160,82,45,0
161,161,161,1
162,181,205,1
162,205,90,1
163,163,163,1
164,211,238,1
165,42,42,0
166,166,166,1
16,78,139,0
168,168,168,1
169,169,169,1
170,170,170,1
171,130,255,1
171,171,171,1
173,173,173,1
173,216,230,1
173,255,47,1
174,238,238,1
176,176,176,1
176,196,222,1
176,224,230,1
176,226,255,1
176,23,31,0
178,223,238,1
178,34,34,0
178,58,238,0
179,102,128,1
179,102,26,0
179,128,179,1
179,128,26,1
179,153,255,1
179,179,179,1
179,179,179,1
179,179,26,1
179,179,77,1
179,204,255,1
179,230,179,1
179,230,230,1
179,238,58,1
179,26,26,0
179,77,26,0
180,205,205,1
180,238,180,1
180,82,205,0
181,181,181,1
18,18,18,0
183,183,183,1
184,134,11,1
184,184,184,1
185,211,238,1
186,186,186,1
186,85,211,1
187,255,255,1
188,143,143,1
188,210,238,1
188,238,104,1
189,183,107,1
189,189,189,1
189,252,201,1
191,191,191,1
191,239,255,1
191,62,255,0
192,192,192,1
192,255,62,1
193,193,193,1
193,205,193,1
193,205,205,1
193,255,193,1
194,194,194,1
196,196,196,1
197,193,170,1
198,113,113,1
198,226,255,1
199,199,199,1
199,21,133,0
199,97,20,0
201,201,201,1
20,20,20,0
202,225,255,1
202,255,112,1
204,102,51,0
204,128,153,1
204,128,51,1
204,153,204,1
204,153,51,1
204,179,255,1
204,204,102,1
204,204,204,1
204,204,204,1
204,204,51,1
204,230,255,1
204,255,204,1
204,255,255,1
204,51,51,0
205,0,0,0
205,0,205,0
205,102,0,0
205,102,29,0
205,104,137,1
205,104,57,1
205,105,201,1
205,112,84,1
205,129,98,1
205,133,0,1
205,133,63,1
205,140,149,1
205,145,158,1
205,149,12,1
205,150,205,1
205,155,155,1
205,155,29,1
205,16,118,0
205,170,125,1
205,173,0,1
205,175,149,1
205,179,139,1
205,181,205,1
205,183,158,1
205,183,181,1
205,186,150,1
205,190,112,1
205,192,176,1
205,193,197,1
205,197,191,1
205,198,115,1
205,200,177,1
205,201,165,1
205,201,201,1
205,205,0,1
205,205,180,1
205,205,193,1
205,38,38,0
205,41,144,0
205,50,120,0
205,51,51,0
205,55,0,0
205,79,57,0
205,85,85,0
205,91,69,0
205,92,92,0
205,96,144,1
207,207,207,1
208,32,144,0
209,209,209,1
209,238,238,1
209,95,238,1
210,105,30,1
210,180,140,1
211,211,211,1
212,212,212,1
214,214,214,1
216,191,216,1
217,217,217,1
218,112,214,1
218,165,32,1
219,112,147,1
219,219,219,1
220,20,60,0
220,220,220,1
221,160,221,1
222,184,135,1
222,222,222,1
224,102,255,1
224,224,224,1
224,238,224,1
224,238,238,1
224,255,255,1
227,168,105,1
227,207,87,1
227,227,227,1
229,229,229,1
230,128,77,1
230,153,179,1
230,153,77,1
230,179,204,1
230,179,230,1
230,179,77,1
230,204,255,1
230,230,128,1
230,230,153,1
230,230,179,1
230,230,204,1
230,230,230,1
230,230,250,1
230,230,77,1
230,77,77,0
232,232,232,1
23,23,23,0
233,150,122,1
234,234,234,1
235,235,235,1
237,145,33,1
237,237,237,1
238,0,0,0
238,0,238,0
238,106,167,1
238,106,80,1
238,118,0,1
238,118,33,1
238,121,159,1
238,121,66,1
238,122,233,1
238,130,238,1
238,130,98,1
238,149,114,1
238,154,0,1
238,154,73,1
238,162,173,1
238,169,184,1
238,173,14,1
238,174,238,1
238,180,180,1
238,180,34,1
238,18,137,0
238,197,145,1
238,201,0,1
238,203,173,1
238,207,161,1
238,210,238,1
238,213,183,1
238,213,210,1
238,216,174,1
238,220,130,1
238,223,204,1
238,224,229,1
238,229,222,1
238,230,133,1
238,232,170,1
238,232,205,1
238,233,191,1
238,233,233,1
238,238,0,1
238,238,209,1
238,238,224,1
238,44,44,0
238,48,167,0
238,58,140,0
238,59,59,0
238,64,0,0
238,92,66,1
238,99,99,1
240,128,128,1
240,230,140,1
240,240,240,1
240,248,255,1
240,255,240,1
240,255,255,1
24,116,205,0
242,242,242,1
242,242,242,1
244,164,96,1
244,244,244,1
245,222,179,1
245,245,220,1
245,245,245,1
245,245,245,1
245,255,250,1
247,247,247,1
248,248,255,1
250,128,114,1
250,235,215,1
250,240,230,1
250,250,210,1
250,250,250,1
252,230,201,1
252,252,252,1
25,25,112,0
253,245,230,1
255,0,0,0
255,0,255,0
255,102,102,1
255,105,180,1
255,106,106,1
255,110,180,1
255,114,86,1
255,125,64,1
255,127,0,1
255,127,36,1
255,127,80,1
255,128,0,1
255,128,128,1
255,130,171,1
255,130,71,1
255,131,250,1
255,140,0,1
255,140,105,1
255,153,102,1
255,153,128,1
255,153,153,1
255,153,18,1
255,160,122,1
255,165,0,1
255,165,79,1
255,174,185,1
255,179,102,1
255,179,128,1
255,179,153,1
255,179,179,1
255,181,197,1
255,182,193,1
255,185,15,1
255,187,255,1
255,192,203,1
255,193,193,1
255,193,37,1
255,20,147,0
255,204,102,1
255,204,128,1
255,204,153,1
255,204,179,1
255,204,204,1
255,204,230,1
255,204,255,1
255,211,155,1
255,215,0,1
255,218,185,1
255,222,173,1
255,225,255,1
255,228,181,1
255,228,196,1
255,228,225,1
255,230,102,1
255,230,128,1
255,230,153,1
255,230,179,1
255,230,204,1
255,231,186,1
255,235,205,1
255,236,139,1
255,239,213,1
255,239,219,1
255,240,245,1
255,245,238,1
255,246,143,1
255,248,220,1
255,250,205,1
255,250,240,1
255,250,250,1
255,255,0,1
255,255,102,1
255,255,128,1
255,255,153,1
255,255,179,1
255,255,204,1
255,255,224,1
255,255,240,1
255,255,255,1
255,255,255,1
255,255,77,1
255,48,48,0
255,52,179,0
255,62,150,1
255,64,64,0
255,69,0,0
255,97,3,1
255,99,71,1
26,0,104,0
26,26,26,0
26,26,26,0
26,51,153,0
26,77,26,0
26,77,77,0
28,134,238,0
28,28,28,0
30,144,255,0
30,30,30,0
31,31,31,0
3,168,158,0
32,178,170,1
3,3,3,0
33,33,33,0
34,139,34,0
36,36,36,0
38,38,38,0
39,64,139,0
40,40,40,0
41,36,33,0
41,41,41,0
43,43,43,0
46,139,87,0
46,46,46,0
47,79,79,0
48,128,20,0
48,48,48,0
50,205,50,1
51,0,51,0
51,102,102,0
51,102,51,0
51,161,201,1
51,26,128,0
51,51,51,0
51,51,51,0
51,77,179,0
54,100,139,0
54,54,54,0
5,5,5,0
56,142,142,0
56,56,56,0
58,95,205,0
59,59,59,0
60,179,113,1
61,145,64,0
61,61,61,0
61,89,171,0
64,224,208,1
64,64,64,0
65,105,225,0
66,66,66,0
67,110,238,0
67,205,128,1
69,139,0,0
69,139,116,0
69,69,69,0
70,130,180,0
71,60,139,0
71,71,71,0
72,118,255,0
72,209,204,1
72,61,139,0
74,112,139,0
74,74,74,0
75,0,130,0
77,0,26,0
77,102,204,0
77,128,128,0
77,128,77,0
77,26,77,0
77,51,153,0
77,77,77,0
77,77,77,0
78,238,148,1
79,148,205,1
79,79,79,0
81,81,81,0
82,139,139,0
82,82,82,0
83,134,139,0
84,139,84,0
84,255,159,1
84,84,84,0
85,107,47,0
85,26,139,0
85,85,85,0
87,87,87,0
8,8,8,0
89,89,89,0
91,91,91,0
92,172,238,1
92,92,92,0
93,71,139,0
94,38,18,0
94,94,94,0
95,158,160,1
96,123,139,0
97,97,97,0
99,184,255,1
99,99,99,0
205,129,98,1
205,133,0,1
205,133,63,1
205,140,149,1
205,145,158,1
205,149,12,1
205,150,205,1
205,155,155,1
205,155,29,1
205,16,118,0
205,170,125,1
205,173,0,1
205,175,149,1
205,179,139,1
205,181,205,1
205,183,158,1
205,183,181,1
205,186,150,1
205,190,112,1
205,192,176,1
205,193,197,1
205,197,191,1
205,198,115,1
205,200,177,1
205,201,165,1
205,201,201,1
205,205,0,1
205,205,180,1
205,205,193,1
205,38,38,0
205,41,144,0
205,50,120,0
205,51,51,0
205,55,0,0
205,79,57,0
205,85,85,0
205,91,69,0
205,92,92,0
205,96,144,1
207,207,207,1
208,32,144,0
209,209,209,1
209,238,238,1
209,95,238,1
210,105,30,1
210,180,140,1
211,211,211,1
212,212,212,1
214,214,214,1
216,191,216,1
217,217,217,1
218,112,214,1
218,165,32,1
219,112,147,1
219,219,219,1
220,20,60,0
220,220,220,1
221,160,221,1
222,184,135,1
222,222,222,1
224,102,255,1
224,224,224,1
224,238,224,1
224,238,238,1
224,255,255,1
227,168,105,1
227,207,87,1
227,227,227,1
229,229,229,1
230,128,77,1
230,153,179,1
230,153,77,1
230,179,204,1
230,179,230,1
230,179,77,1
230,204,255,1
230,230,128,1
230,230,153,1
230,230,179,1
230,230,204,1
230,230,230,1
230,230,250,1
230,230,77,1
230,77,77,0
232,232,232,1
23,23,23,0
233,150,122,1
234,234,234,1
235,235,235,1
237,145,33,1
237,237,237,1
238,0,0,0
238,0,238,0
238,106,167,1
238,106,80,1
238,118,0,1
238,118,33,1
238,121,159,1
238,121,66,1
238,122,233,1
238,130,238,1
238,130,98,1
238,149,114,1
238,154,0,1
238,154,73,1
238,162,173,1
238,169,184,1
238,173,14,1
238,174,238,1
238,180,180,1
238,180,34,1
238,18,137,0
238,197,145,1
238,201,0,1
238,203,173,1
238,207,161,1
238,210,238,1
238,213,183,1
238,213,210,1
238,216,174,1
238,220,130,1
238,223,204,1
238,224,229,1
238,229,222,1
238,230,133,1
238,232,170,1
238,232,205,1
238,233,191,1
238,233,233,1
238,238,0,1
238,238,209,1
238,238,224,1
238,44,44,0
238,48,167,0
238,58,140,0
238,59,59,0
238,64,0,0
238,92,66,1
238,99,99,1
240,128,128,1
240,230,140,1
240,240,240,1
240,248,255,1
240,255,240,1
240,255,255,1
24,116,205,0
242,242,242,1
242,242,242,1
244,164,96,1
244,244,244,1
245,222,179,1
245,245,220,1
245,245,245,1
245,245,245,1
245,255,250,1
247,247,247,1
248,248,255,1
250,128,114,1
250,235,215,1
250,240,230,1
250,250,210,1
250,250,250,1
252,230,201,1
252,252,252,1
25,25,112,0
253,245,230,1
255,0,0,0
255,0,255,0
255,102,102,1
255,105,180,1
255,106,106,1
255,110,180,1
255,114,86,1
255,125,64,1
255,127,0,1
255,127,36,1
255,127,80,1
255,128,0,1
255,128,128,1
255,130,171,1
255,130,71,1
255,131,250,1
255,140,0,1
255,140,105,1
255,153,102,1
255,153,128,1
255,153,153,1
255,153,18,1
255,160,122,1
255,165,0,1
255,165,79,1
255,174,185,1
255,179,102,1
255,179,128,1
255,179,153,1
255,179,179,1
255,181,197,1
255,182,193,1
255,185,15,1
255,187,255,1
255,192,203,1
255,193,193,1
255,193,37,1
255,20,147,0
255,204,102,1
255,204,128,1
255,204,153,1
255,204,179,1
255,204,204,1
255,204,230,1
255,204,255,1
255,211,155,1
255,215,0,1
255,218,185,1
255,222,173,1
255,225,255,1
255,228,181,1
255,228,196,1
255,228,225,1
255,230,102,1
255,230,128,1
255,230,153,1
255,230,179,1
255,230,204,1
255,231,186,1
255,235,205,1
255,236,139,1
255,239,213,1
255,239,219,1
255,240,245,1
255,245,238,1
255,246,143,1
255,248,220,1
255,250,205,1
255,250,240,1
255,250,250,1
255,255,0,1
255,255,102,1
255,255,128,1
255,255,153,1
255,255,179,1
255,255,204,1
255,255,224,1
255,255,240,1
255,255,255,1
255,255,255,1
255,255,77,1
255,48,48,0
255,52,179,0
255,62,150,1
255,64,64,0
255,69,0,0
255,97,3,1
255,99,71,1
26,0,104,0
26,26,26,0
26,26,26,0
26,51,153,0
26,77,26,0
26,77,77,0
28,134,238,0
28,28,28,0
30,144,255,0
30,30,30,0
31,31,31,0
3,168,158,0
32,178,170,1
3,3,3,0
33,33,33,0
34,139,34,0
36,36,36,0
38,38,38,0
39,64,139,0
40,40,40,0
41,36,33,0
41,41,41,0
43,43,43,0
46,139,87,0
46,46,46,0
47,79,79,0
48,128,20,0
48,48,48,0
50,205,50,1
51,0,51,0
51,102,102,0
51,102,51,0
51,161,201,1
51,26,128,0
51,51,51,0
51,51,51,0
51,77,179,0
54,100,139,0
54,54,54,0
5,5,5,0
56,142,142,0
56,56,56,0
58,95,205,0
59,59,59,0
60,179,113,1
61,145,64,0
61,61,61,0
61,89,171,0
64,224,208,1
64,64,64,0
65,105,225,0
66,66,66,0
67,110,238,0
67,205,128,1
69,139,0,0
69,139,116,0
69,69,69,0
70,130,180,0
71,60,139,0
71,71,71,0
72,118,255,0
72,209,204,1
72,61,139,0
74,112,139,0
74,74,74,0
75,0,130,0
77,0,26,0
77,102,204,0
77,128,128,0
77,128,77,0
77,26,77,0
77,51,153,0
77,77,77,0
77,77,77,0
78,238,148,1
79,148,205,1
79,79,79,0
81,81,81,0
82,139,139,0
82,82,82,0
83,134,139,0
84,139,84,0
84,255,159,1
84,84,84,0
85,107,47,0
85,26,139,0
85,85,85,0
87,87,87,0
8,8,8,0
89,89,89,0
91,91,91,0
92,172,238,1
92,92,92,0
93,71,139,0
94,38,18,0
94,94,94,0
95,158,160,1
96,123,139,0
97,97,97,0
99,184,255,1
99,99,99,0
