,active_from,active_to,birth_date,college,height,name,position,url,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
19,2015,2016,"July 8, 1994","University of California, Los Angeles",6-5,Jordan Adams,G,/players/a/adamsjo01.html,209,0.8,.385,0.3,.457,.402,1.2,2.9,.607,0.5,0.9,32,3.2,4.3,.331,1.4,,11.6,.467,5.4,.839,5.0,4.2,69,16.4
20,1986,1996,"January 19, 1963",Boston College,5-10,Michael Adams,G,/players/a/adamsmi01.html,162,4.4,.332,1.5,.475,.415,5.0,12.0,.849,3.3,3.9,653,14.7,,,,,11.3,.470,5.3,.750,4.3,3.2,119,13.9
21,2014,2018,"July 20, 1993",University of Pittsburgh,7-0,Steven Adams,C,/players/a/adamsst01.html,255,0.0,.000,0.0,.585,.585,3.6,6.1,.566,1.6,2.8,385,8.7,0.0,,0.0,,5.5,.571,3.1,.443,2.2,1.0,32,7.2
22,1987,1997,"July 22, 1964",Syracuse University,6-7,Rafael Addison,F-G,/players/a/addisra01.html,215,0.6,.282,0.2,.466,.449,2.4,5.4,.772,0.7,0.9,379,5.8,,,,,11.6,.534,6.2,.763,3.3,2.5,126,14.9
23,2018,2018,"July 18, 1997",University of Kentucky,6-10,Bam Adebayo,C-F,/players/a/adebaba01.html,243,0.1,.000,0.0,.508,.508,2.5,5.0,.711,1.8,2.6,67,6.9,0.0,,0.0,,7.5,.599,4.5,.653,6.2,4.1,38,13.0
24,1969,1975,"June 16, 1946",Loyola Marymount University,6-1,Rick Adelman,G,/players/a/adelmri01.html,175,,,,,.415,3.0,7.2,.713,1.8,2.5,462,7.7,,,,,,,,,,,,
25,2011,2015,"February 10, 1986",University of Connecticut,6-7,Jeff Adrien,F,/players/a/adrieje01.html,245,0.0,.000,0.0,.474,.474,1.7,3.6,.628,1.2,1.9,153,4.6,0.0,.333,0.0,,8.8,.515,4.5,.606,4.9,3.0,133,12.1
26,2008,2018,"October 15, 1985","University of California, Los Angeles",6-5,Arron Afflalo,G,/players/a/afflaar01.html,210,2.9,.386,1.1,.514,.449,3.9,8.7,.825,1.8,2.2,761,10.8,5.4,.373,2.0,,10.9,.457,5.0,.781,3.6,2.8,104,14.8
27,2007,2011,"February 9, 1984",Michigan State University,6-5,Maurice Ager,G,/players/a/agerma01.html,202,0.5,.250,0.1,.368,.339,0.8,2.3,.566,0.4,0.6,82,2.1,4.3,.380,1.6,,9.6,.441,4.2,.775,3.2,2.5,124,12.5
28,1982,1994,"December 10, 1959",DePaul University,6-6,Mark Aguirre,F-G,/players/a/aguirma01.html,232,1.4,.312,0.4,.498,.484,7.8,16.1,.741,4.0,5.4,923,20.0,,,,,18.2,.546,9.9,.768,6.8,5.2,87,25.1
29,2008,2012,"May 27, 1984",Missouri State University,6-2,Blake Ahearn,G,/players/a/ahearbl01.html,190,2.5,.298,0.7,.364,.273,1.1,4.1,.970,1.7,1.7,19,4.6,5.2,.408,2.1,,8.9,.423,3.7,.946,3.6,3.4,129,13.0
30,1982,1995,"March 17, 1959",Brigham Young University,6-4,Danny Ainge,G,/players/a/aingeda01.html,175,2.5,.378,1.0,.519,.469,4.5,9.5,.846,1.6,1.9,1042,11.5,,,,,15.9,.526,8.4,.816,5.1,4.2,118,20.9
31,1968,1968,"September 21, 1944",Michigan State University,6-7,Matthew Aitch,F,/players/a/aitchma01.html,230,0.0,.000,0.0,.405,.405,2.2,5.5,.675,1.2,1.7,45,5.6,,,,,,,,,,,,
32,2009,2017,"May 6, 1988",,7-2,Alexis Ajinca,C,/players/a/ajincal01.html,248,0.1,.286,0.0,.507,.503,2.2,4.4,.797,0.9,1.1,293,5.3,,,,,,,,,,,,
33,1967,1969,"July 31, 1944",Morehead State University,6-10,Henry Akin,C-F,/players/a/akinhe01.html,225,1.0,.000,0.0,.350,.350,1.5,4.2,.676,0.5,0.8,88,3.5,,,,,,,,,,,,
34,2013,2013,"February 10, 1986","Washington State University, California State University, Fullerton",5-11,Josh Akognon,G,/players/a/akognjo01.html,185,0.7,.500,0.3,.625,.500,0.7,1.3,,0.0,0.0,3,1.7,7.6,.372,2.8,,12.3,.408,5.0,.871,2.7,2.3,119,15.2
35,2011,2012,"March 21, 1988",Florida State University,7-1,Solomon Alabi,C,/players/a/alabiso01.html,251,0.0,,0.0,.314,.314,0.6,2.0,.700,0.3,0.4,26,1.5,0.0,.000,0.0,,6.6,.534,3.5,.745,2.9,2.1,77,9.1
36,1987,1991,"December 11, 1963",Duke University,6-8,Mark Alarie,F,/players/a/alarima01.html,217,0.4,.252,0.1,.483,.475,3.2,6.7,.775,1.0,1.3,325,7.5,0.1,.000,0.0,,11.3,.550,6.2,.797,4.5,3.6,133,16.1
37,1960,1961,"October 8, 1936","California State University, Fresno",6-9,Gary Alcorn,C,/players/a/alcorga01.html,225,,,,,.293,1.3,4.5,.598,0.7,1.2,78,3.3,,,,,,,,,,,,
38,2015,2015,"August 9, 1991",,6-10,Furkan Aldemir,F-C,/players/a/aldemfu01.html,240,0.1,.000,0.0,.513,.513,1.0,1.9,.481,0.3,0.7,41,2.3,,,,,,,,,,,,
39,2011,2018,"October 31, 1988",University of Kansas,6-11,Cole Aldrich,C,/players/a/aldrico01.html,250,0.0,,0.0,.527,.527,1.3,2.4,.738,0.5,0.7,338,3.1,0.0,,0.0,,6.1,.574,3.5,.729,3.2,2.3,111,9.4
40,2007,2018,"July 19, 1985",University of Texas at Austin,6-11,LaMarcus Aldridge,F-C,/players/a/aldrila01.html,260,0.4,.289,0.1,.493,.489,7.9,16.1,.806,3.5,4.4,867,19.4,0.0,,0.0,,8.9,.586,5.2,.649,4.7,3.0,53,13.5
41,1985,1985,"February 26, 1959","University of Kentucky, University of Connecticut",6-11,Chuck Aleksinas,C,/players/a/aleksch01.html,260,0.0,.000,0.0,.478,.478,2.2,4.6,.733,0.7,1.0,74,5.1,,,,,6.8,.561,3.8,.721,3.5,2.5,96,10.1
42,2016,2016,"November 16, 1995",University of Kansas,6-8,Cliff Alexander,F,/players/a/alexacl01.html,245,0.0,,0.0,.500,.500,0.6,1.3,,0.0,0.0,8,1.3,0.0,,0.0,,4.6,.566,2.6,.671,2.8,1.9,28,7.1
43,1996,2005,"June 22, 1973",University of Virginia,6-1,Cory Alexander,G,/players/a/alexaco01.html,185,2.2,.354,0.8,.468,.389,1.9,4.9,.756,0.9,1.1,307,5.5,5.0,.336,1.7,,12.6,.427,5.4,.693,3.8,2.7,85,15.1
44,2001,2003,"April 27, 1977","University of Virginia, California State University, Fresno",6-5,Courtney Alexander,G,/players/a/alexaco02.html,205,0.6,.339,0.2,.435,.422,3.5,8.3,.813,1.8,2.2,187,9.0,4.1,.362,1.5,,15.8,.456,7.2,.767,3.9,3.0,112,18.9
45,1994,1994,"November 1, 1969",University of South Florida,6-7,Gary Alexander,F,/players/a/alexaga01.html,240,0.0,,0.0,.571,.571,0.7,1.3,.333,0.3,0.8,11,1.7,,,,,,,,,,,,
46,2009,2010,"December 26, 1986",West Virginia University,6-8,Joe Alexander,F,/players/a/alexajo01.html,230,0.7,.340,0.2,.442,.410,1.5,3.7,.698,0.9,1.3,67,4.2,2.1,.295,0.6,,10.0,.447,4.5,.765,3.3,2.5,82,12.1
47,1992,2002,"August 31, 1969",Iowa State University,6-9,Victor Alexander,C-F,/players/a/alexavi01.html,265,0.2,.286,0.1,.522,.518,3.8,7.4,.634,1.1,1.8,286,8.9,0.0,.000,0.0,,11.5,.611,7.0,.635,4.8,3.0,111,17.0
48,1988,1991,"November 23, 1964",Indiana University,6-2,Steve Alford,G,/players/a/alforst01.html,183,0.6,.324,0.2,.487,.459,1.7,3.8,.870,0.8,0.9,169,4.4,5.9,.530,3.1,,13.5,.533,7.2,.898,4.8,4.3,125,19.5
49,1968,1968,,New Mexico State University,6-8,Bill Allen,C-F,/players/a/allenbi01.html,205,0.1,1.000,0.1,.432,.429,3.2,7.4,.586,1.5,2.6,38,7.9,,,,,,,,,,,,
50,1969,1969,"July 17, 1946",Marshall University,6-9,Bob Allen,F,/players/a/allenbo01.html,205,,,,,.326,0.5,1.6,.556,0.7,1.3,27,1.8,,,,,,,,,,,,
51,2018,2018,"April 21, 1998",University of Texas at Austin,6-10,Jarrett Allen,F-C,/players/a/allenja01.html,234,0.2,.333,0.1,.590,.584,3.2,5.5,.772,1.6,2.1,70,8.1,0.2,.000,0.0,,9.6,.566,5.4,.564,4.5,2.5,33,13.4
52,1996,1997,"January 28, 1973",University of Pennsylvania,6-4,Jerome Allen,G,/players/a/allenje01.html,184,1.1,.317,0.3,.411,.350,1.0,2.8,.630,0.6,0.9,117,2.9,4.8,.343,1.6,,11.1,.417,4.6,.722,3.8,2.8,109,13.7
53,2018,2018,"January 15, 1993",University of Arizona,6-3,Kadeem Allen,G,/players/a/allenka01.html,192,0.5,.000,0.0,.143,.143,0.1,0.9,.750,0.2,0.3,16,0.4,1.8,.400,0.7,,6.6,.459,3.0,.725,3.1,2.3,68,9.1
54,2012,2017,"February 4, 1989",Temple University,6-9,Lavoy Allen,F-C,/players/a/allenla01.html,260,0.0,.133,0.0,.472,.471,2.1,4.5,.682,0.5,0.7,388,4.8,0.5,.288,0.1,,8.2,.534,4.4,.671,2.4,1.6,135,10.5
55,1970,1979,"September 26, 1947","University of California, Los Angeles",6-2,Lucius Allen,G,/players/a/allenlu01.html,175,,,,,.463,5.5,11.9,.760,2.3,3.1,702,13.4,,,,,,,,,,,,
56,2002,2011,"June 27, 1978",Villanova University,6-10,Malik Allen,F-C,/players/a/allenma01.html,255,0.0,.188,0.0,.440,.439,2.2,4.9,.778,0.5,0.7,478,4.9,0.0,,0.0,,6.7,.514,3.4,.696,3.0,2.1,127,8.9
57,1989,1990,"January 26, 1965",Florida State University,6-8,Randy Allen,F,/players/a/allenra01.html,220,0.1,.000,0.0,.442,.442,1.6,3.7,.533,0.3,0.6,70,3.6,0.1,.000,0.0,,10.5,.491,5.1,.615,3.6,2.2,115,12.5
58,1997,2014,"July 20, 1975",University of Connecticut,6-5,Ray Allen,G,/players/a/allenra02.html,205,5.7,.400,2.3,.530,.452,6.6,14.6,.894,3.4,3.8,1300,18.9,5.1,.448,2.3,,14.3,.487,7.0,.779,3.5,2.8,101,19.0
59,2005,2018,"January 11, 1982","Butler County Community College, Oklahoma State University",6-4,Tony Allen,G-F,/players/a/allento01.html,213,0.5,.282,0.2,.487,.475,3.2,6.6,.709,1.7,2.3,820,8.1,2.2,.347,0.8,,11.5,.477,5.5,.682,5.2,3.5,67,15.3
60,1972,1972,"February 8, 1949",University of Miami,6-6,Willie Allen,F,/players/a/allenwi01.html,230,0.0,,0.0,.308,.308,0.6,1.9,.833,0.7,0.9,7,1.9,,,,,,,,,,,,
61,1972,1972,"October 2, 1949","University of Nevada, Las Vegas",6-6,Odis Allison,F,/players/a/allisod01.html,195,,,,,.218,0.5,2.2,.541,0.9,1.7,36,1.9,,,,,,,,,,,,
62,2008,2008,"February 2, 1981","University of Utah, Weber State University",6-11,Lance Allred,C,/players/a/allrela01.html,250,0.0,,0.0,.250,.250,0.3,1.3,.500,0.3,0.7,3,1.0,0.1,.429,0.1,,7.1,.481,3.4,.718,3.9,2.8,95,9.7
63,1981,1981,"September 12, 1958","University of California, Los Angeles",6-9,Darrell Allums,F,/players/a/allumda01.html,220,0.0,.000,0.0,.343,.343,1.0,3.0,.591,0.6,1.0,22,2.7,,,,,2.7,.488,1.3,.688,1.6,1.1,92,3.8
64,2008,2012,"February 2, 1985",Rice University,6-6,Morris Almond,G,/players/a/almonmo01.html,225,0.6,.292,0.2,.412,.381,1.1,3.0,.743,0.7,0.9,38,3.1,2.9,.435,1.3,,10.5,.492,5.2,.824,4.2,3.5,121,15.1
65,1995,1997,"August 20, 1972",Duquesne University,6-11,Derrick Alston,F,/players/a/alstode01.html,225,0.1,.143,0.0,.490,.489,2.3,4.7,.487,0.8,1.7,139,5.4,0.0,.333,0.0,,11.6,.561,6.5,.576,6.4,3.7,114,16.7
66,2000,2010,"July 24, 1976","California State University, Fresno",6-2,Rafer Alston,G,/players/a/alstora01.html,171,4.2,.354,1.5,.461,.383,3.7,9.5,.729,1.3,1.8,671,10.1,5.9,.337,2.0,,9.4,.401,3.8,.758,2.0,1.5,33,11.0
67,1999,1999,"April 23, 1973",Liberty University,6-10,Peter Aluma,C,/players/a/alumape01.html,260,0.0,,0.0,.500,.500,0.5,1.0,,0.0,0.0,2,1.0,0.0,.000,0.0,,10.1,.528,5.3,.666,5.7,3.8,119,14.4
68,1996,2003,"November 26, 1970","Vanderbilt University, Pennsylvania State University",6-10,John Amaechi,C-F,/players/a/amaecjo01.html,270,0.0,.077,0.0,.403,.403,2.3,5.6,.671,1.7,2.6,294,6.2,0.6,.304,0.2,,7.8,.514,4.0,.690,6.6,4.5,108,12.7
69,1996,1997,"November 23, 1971",Southern Illinois University,6-8,Ashraf Amaya,F,/players/a/amayaas01.html,230,0.0,.500,0.0,.457,.455,1.6,3.4,.633,1.3,2.1,85,4.5,0.4,.229,0.1,,9.4,.567,5.3,.659,5.8,3.8,128,14.6
70,2011,2018,"September 21, 1990",Wake Forest University,6-9,Al-Farouq Aminu,F,/players/a/aminual01.html,220,2.2,.337,0.7,.478,.422,2.8,6.6,.726,1.2,1.7,587,7.5,1.7,.238,0.4,,10.6,.476,5.0,.687,5.7,3.9,62,14.4
71,2007,2016,"December 7, 1982","University of Nevada, Las Vegas",6-9,Lou Amundson,F,/players/a/amundlo01.html,220,0.0,.000,0.0,.474,.474,1.5,3.2,.444,0.6,1.4,428,3.7,0.0,.000,0.0,,5.4,.535,2.9,.503,3.0,1.5,120,7.2
72,1960,1960,"August 24, 1937",Michigan State University,6-3,Bob Anderegg,F-G,/players/a/anderbo01.html,200,,,,,.385,1.7,4.3,.548,0.7,1.3,33,4.0,,,,,,,,,,,,
73,2002,2017,"July 7, 1978",Blinn College,6-10,Chris Andersen,F-C,/players/a/anderch01.html,245,0.1,.221,0.0,.535,.532,1.9,3.6,.654,1.5,2.3,695,5.4,,,,,,,,,,,,
74,2010,2011,"June 23, 1980",,6-11,David Andersen,C,/players/a/anderda03.html,245,1.0,.347,0.3,.478,.440,2.0,4.5,.674,0.6,0.9,103,4.9,,,,,,,,,,,,
75,2006,2017,"October 16, 1982",Michigan State University,6-6,Alan Anderson,G-F,/players/a/anderal01.html,220,2.9,.344,1.0,.484,.405,2.6,6.3,.816,1.2,1.5,330,7.3,1.0,.366,0.4,,6.1,.503,3.0,.831,3.6,3.0,126,9.5
76,1968,1970,"July 6, 1945",Canisius College,6-2,Andrew Anderson,G,/players/a/anderan01.html,184,0.3,.159,0.1,.413,.410,4.1,10.1,.755,2.4,3.2,194,10.7,,,,,,,,,,,,
77,2010,2010,"June 5, 1985",University of Memphis,6-6,Antonio Anderson,G,/players/a/anderan02.html,215,0.0,,0.0,.333,.333,1.0,3.0,,0.0,0.0,1,2.0,3.0,.308,0.9,,6.9,.418,2.9,.648,2.8,1.8,150,8.5
78,1968,1971,"September 7, 1944",Saint Joseph's University,6-2,Cliff Anderson,G-F,/players/a/andercl01.html,200,0.0,,0.0,.354,.354,0.9,2.5,.585,1.3,2.2,84,3.0,,,,,,,,,,,,
79,1968,1969,"February 15, 1943",Augsburg College,6-10,Dan Anderson,C,/players/a/anderda01.html,230,0.0,,0.0,.481,.481,4.9,10.2,.727,2.4,3.4,140,12.2,,,,,,,,,,,,
80,1975,1976,"January 1, 1951",University of Southern California,6-2,Dan Anderson,G,/players/a/anderda02.html,185,,,,,.472,1.4,3.0,.846,0.8,1.0,95,3.7,,,,,,,,,,,,
81,1998,2008,"July 18, 1974","Ohio State University, University of Kentucky",6-5,Derek Anderson,G,/players/a/anderde01.html,194,3.1,.341,1.0,.463,.408,3.9,9.6,.853,3.0,3.6,615,12.0,2.5,.364,0.9,,8.5,.482,4.1,.805,4.0,3.2,99,12.4
82,1983,1983,"December 28, 1960","University of Kentucky, University of Southern California",6-3,Dwight Anderson,G,/players/a/anderdw01.html,185,0.0,,0.0,.500,.500,1.4,2.8,.700,1.4,2.0,5,4.2,,,,,12.4,.488,6.0,.725,5.8,4.2,79,16.3
83,1993,1994,"May 26, 1970",Indiana University,6-9,Eric Anderson,F,/players/a/anderer01.html,220,0.1,1.000,0.1,.371,.343,0.4,1.3,.593,0.6,1.0,27,1.6,0.4,.396,0.2,,9.4,.515,4.8,.734,4.4,3.2,131,13.1
84,1988,1998,"June 22, 1964",University of Houston,6-10,Greg Anderson,F-C,/players/a/andergr01.html,230,0.0,.087,0.0,.492,.492,3.0,6.0,.557,1.4,2.5,680,7.3,0.0,,0.0,,10.0,.550,5.5,.576,4.4,2.5,123,13.5
85,1983,1985,"September 23, 1960",Bradley University,6-8,J.J. Anderson,F,/players/a/anderjj01.html,195,0.1,.000,0.0,.465,.465,1.9,4.2,.558,0.9,1.6,157,4.8,,,,,17.1,.467,8.0,.715,4.5,3.2,122,19.2
86,2011,2016,"March 25, 1989",Oklahoma State University,6-6,James Anderson,G-F,/players/a/anderja01.html,213,2.5,.321,0.8,.488,.411,2.1,5.2,.755,0.7,0.9,247,5.8,5.9,.375,2.2,,12.6,.460,5.8,.797,5.2,4.2,101,17.9
87,1976,1977,"October 9, 1953",West Virginia University,6-5,Jerome Anderson,G,/players/a/anderje01.html,195,,,,,.490,1.0,2.1,.694,0.5,0.7,49,2.6,,,,,,,,,,,,
88,2016,2018,"November 19, 1993",University of Virginia,6-6,Justin Anderson,G,/players/a/anderju01.html,228,2.2,.296,0.7,.487,.419,2.0,4.8,.782,1.0,1.3,167,5.7,2.8,.357,1.0,,6.8,.430,2.9,.752,2.7,2.0,98,8.9
89,1992,2005,"October 9, 1970",Georgia Institute of Technology,6-0,Kenny Anderson,G,/players/a/anderke01.html,168,1.8,.346,0.6,.449,.421,4.7,11.1,.790,2.6,3.3,858,12.6,4.6,.374,1.7,,18.2,.473,8.6,.787,5.1,4.0,65,23.0
90,1979,1979,"May 12, 1955",University of Missouri,6-7,Kim Anderson,F,/players/a/anderki01.html,200,,,,,.312,1.1,3.7,.536,0.7,1.3,21,3.0,,,,,,,,,,,,
91,2015,2018,"September 20, 1993","University of California, Los Angeles",6-9,Kyle Anderson,F-G,/players/a/anderky01.html,230,0.6,.336,0.2,.501,.477,1.9,4.0,.734,0.8,1.1,255,4.9,1.4,.375,0.5,,9.4,.452,4.3,.736,4.3,3.1,71,12.2
92,1989,1989,"March 23, 1966",Drexel University,5-11,Michael Anderson,G,/players/a/andermi01.html,184,0.2,.143,0.0,.420,.417,2.0,4.9,.695,1.6,2.3,36,5.7,2.8,.401,1.1,,13.1,.478,6.3,.736,8.3,6.1,115,19.2
93,1990,2002,"January 20, 1968",University of Illinois at Urbana-Champaign,6-6,Nick Anderson,F-G,/players/a/anderni01.html,205,3.7,.356,1.3,.500,.446,5.5,12.4,.667,2.1,3.1,800,14.4,1.0,.361,0.4,,12.7,.553,7.0,.657,3.9,2.6,69,17.0
94,1983,1990,"November 19, 1960","University of California, Santa Barbara",6-10,Richard Anderson,F-C,/players/a/anderri01.html,240,1.1,.333,0.4,.446,.412,2.2,5.4,.762,0.7,0.9,407,5.6,,,,,11.2,.454,5.1,.718,3.1,2.2,100,12.5
95,1985,1994,"October 15, 1958","California State University, Fresno",6-7,Ron Anderson,F-G,/players/a/anderro01.html,215,0.6,.287,0.2,.479,.471,4.4,9.4,.814,1.6,2.0,664,10.6,0.0,.000,0.0,,12.7,.560,7.1,.802,3.4,2.7,68,16.9
96,2009,2018,"May 6, 1988",University of California,6-10,Ryan Anderson,F,/players/a/anderry01.html,240,5.5,.382,2.1,.525,.423,4.4,10.4,.855,1.9,2.2,622,12.8,4.7,.396,1.8,,13.1,.484,6.3,.841,5.0,4.2,66,18.7
97,1997,2006,"December 31, 1973",University of Georgia,6-6,Shandon Anderson,F-G,/players/a/andersh01.html,208,1.4,.316,0.4,.492,.457,2.8,6.1,.739,1.4,1.9,719,7.4,1.4,.291,0.4,,9.9,.498,4.9,.634,4.1,2.6,118,12.9
98,1989,1997,"January 8, 1967",University of Georgia,6-7,Willie Anderson,G-F,/players/a/anderwi01.html,190,0.7,.266,0.2,.479,.471,5.1,10.7,.786,1.9,2.4,555,12.2,1.7,.324,0.5,,10.2,.501,5.1,.784,2.6,2.1,107,12.6
99,1970,1970,"January 11, 1946",Creighton University,6-7,Wally Anderzunas,C-F,/players/a/anderwa01.html,220,,,,,.392,1.5,3.8,.630,0.7,1.0,44,3.6,,,,,,,,,,,,
100,2006,2006,"March 12, 1986",,7-2,Martynas Andriuskevicius,C,/players/a/andrima01.html,240,0.0,,0.0,.000,.000,0.0,0.2,,0.0,0.0,6,0.0,,,,,,,,,,,,
101,1955,1955,"November 1, 1930",Missouri State University,6-7,Don Anielak,F,/players/a/anieldo01.html,190,,,,,.000,0.0,4.0,.750,3.0,4.0,1,3.0,,,,,,,,,,,,
102,2018,2018,"October 22, 1998","University of California, Los Angeles",6-10,Ike Anigbogu,F-C,/players/a/anigbik01.html,252,0.0,,0.0,.444,.444,0.4,0.9,.833,0.5,0.6,10,1.3,0.0,,0.0,,3.5,.564,2.0,.535,1.5,0.8,29,4.7
103,1990,1992,"February 8, 1967",University of Alabama,6-7,Michael Ansley,F,/players/a/anslemi01.html,225,0.0,,0.0,.513,.513,2.6,5.0,.722,1.7,2.4,149,6.9,0.1,.200,0.0,,9.5,.577,5.5,.713,3.7,2.6,128,13.7
104,1998,2000,"January 1, 1975",,7-0,Chris Anstey,C,/players/a/anstech01.html,249,0.2,.138,0.0,.416,.413,2.0,4.7,.755,1.3,1.7,155,5.2,,,,,,,,,,,,
105,2014,2018,"December 6, 1994",,6-11,Giannis Antetokounmpo,F-G,/players/a/antetgi01.html,222,1.5,.285,0.4,.524,.507,6.3,12.4,.746,4.2,5.6,392,17.2,,,,,,,,,,,,
106,2016,2016,"July 17, 1992",,6-7,Thanasis Antetokounmpo,F,/players/a/antetth01.html,205,0.5,.000,0.0,.750,.750,1.5,2.0,,0.0,0.0,2,3.0,,,,,,,,,,,,
107,2004,2018,"May 29, 1984",Syracuse University,6-8,Carmelo Anthony,F,/players/a/anthoca01.html,240,3.7,.348,1.3,.482,.449,8.6,19.2,.812,5.6,6.9,1052,24.1,4.7,.337,1.6,,17.5,.453,7.9,.706,6.8,4.8,35,22.2
